Time Instants,Lane 1,Lane 2,Lane 3,Lane 4
08:00,35.532562,24.435738,32.798996,22.661709
08:05,39.110252,26.868105,37.67657,26.127977
08:10,42.264713,26.710651,42.097855,27.387693
08:15,45.309185,28.940718,43.340305,29.77014
08:20,48.26479,31.81948,47.859077,30.220953
08:25,52.359104,31.862001,51.08536,33.36938
08:30,55.71528,33.491737,55.114594,35.373375
08:35,58.880516,33.46842,60.901928,39.800014
08:40,63.79778,36.309227,66.38351,40.19781
08:45,66.946625,36.79611,71.660355,41.71702
08:50,69.95755,37.027668,75.647285,44.390434
08:55,73.78415,38.445084,77.15452,45.689247
09:00,75.439545,40.836056,83.79116,46.71569
09:05,79.6092,44.490147,89.10556,49.990494
09:10,80.258194,48.56936,90.9284,55.129055
09:15,78.97343,48.40553,96.008316,59.509396
09:20,79.644615,48.84286,98.17937,61.36372
09:25,79.38955,51.4401,98.65152,65.7406
09:30,79.85991,56.781483,100.928635,74.852066
09:35,81.85073,59.23756,102.672775,77.95578
09:40,82.44097,57.601048,102.19194,80.46697
09:45,81.83999,58.52272,103.34496,84.5865
09:50,82.784996,60.30589,104.67537,85.17325
09:55,83.445206,61.68505,104.95253,84.42378
10:00,81.13707,60.93971,100.92613,84.478676
10:05,77.924904,59.701008,97.99917,80.725746
10:10,76.19007,58.605274,91.96391,76.98288
10:15,71.346825,62.734344,91.395935,77.57995
10:20,70.583145,63.309597,87.1352,77.06765
10:25,68.037506,62.67437,83.04363,74.72766
10:30,64.74636,61.98837,78.52338,71.95745
10:35,61.348602,63.234966,73.124146,70.00212
10:40,60.25478,62.508724,68.17272,69.90195
10:45,58.113148,60.62019,64.03142,71.73776
10:50,55.805,58.344994,61.0572,69.16442
10:55,52.673412,54.6448,55.767635,64.63683
11:00,46.226418,52.911793,51.343937,62.227802
11:05,43.57743,51.96102,44.897106,59.11765
11:10,39.07016,48.408184,42.20573,55.230015
11:15,36.206947,46.843414,36.911083,52.792133
11:20,31.518229,47.41157,34.334023,48.553524
11:25,28.88815,47.102394,31.215023,44.349964
11:30,26.124392,46.20137,28.98896,42.298595
11:35,23.992119,43.099014,26.967873,40.27361
11:40,22.622932,40.511837,26.52911,35.962067
11:45,20.980707,40.27414,23.533175,31.57675
11:50,21.917978,38.269928,24.149395,31.741655
11:55,21.08444,36.56957,25.043686,31.044214
12:00,22.080511,35.704155,26.576479,30.809145
12:05,22.284815,38.306046,25.866032,30.207075
12:10,23.719791,38.712162,25.374557,29.294441
12:15,24.606165,38.537727,26.771711,30.280287
12:20,24.936184,37.90857,27.212725,31.746855
12:25,24.445633,38.44472,27.876095,32.13373
12:30,25.264236,40.599957,26.763023,30.558111
12:35,25.784351,39.702595,25.81152,30.492138
12:40,24.952879,37.803864,25.632317,30.630651
12:45,24.391302,35.94017,26.489956,29.89312
12:50,24.540613,36.288227,27.321526,29.641869
12:55,24.899704,35.390793,26.373718,27.189054
13:00,24.979015,35.312214,28.328861,27.294851
13:05,25.826942,33.461212,28.123085,27.358421
13:10,25.67386,35.871605,27.734686,28.069525
13:15,26.244362,34.971043,27.583818,26.810162
13:20,25.971548,36.309174,29.227982,26.990198
13:25,26.939335,37.530056,30.700108,28.150755
13:30,27.024546,39.518223,32.532135,30.012878
13:35,26.977858,40.30547,32.839703,30.578047
13:40,26.562613,46.58865,33.515385,30.774576
13:45,27.972383,48.79662,34.30448,32.41631
13:50,28.242594,47.952763,35.269497,33.301426
13:55,28.059845,47.429817,34.356403,34.051247
14:00,26.41951,49.378483,34.57957,33.614292
14:05,27.687635,49.83589,35.92589,33.436283
14:10,29.115246,50.77967,35.93964,33.458767
14:15,29.163826,53.473305,37.031223,34.848278
14:20,30.846405,53.90627,37.839787,36.496975
14:25,33.562855,56.83017,38.795883,38.230316
14:30,36.294647,60.153885,42.524963,42.45103
14:35,38.745613,63.44565,44.957893,47.507442
14:40,42.39509,65.91692,50.011883,52.044228
14:45,43.7384,68.4506,50.371353,57.501694
14:50,47.140316,73.13482,53.982903,59.276737
14:55,47.61656,75.90341,56.512962,63.00184
15:00,50.515003,75.30356,60.585968,66.21517
15:05,51.595184,74.87642,63.262585,69.61991
15:10,53.429493,77.07996,65.37903,72.54345
15:15,52.58359,79.775375,68.723274,76.71949
15:20,53.979553,76.881294,72.5658,77.40765
15:25,56.702465,77.54648,75.19556,83.07785
15:30,61.57783,76.632996,72.74622,88.8475
15:35,62.228394,74.32032,73.202354,92.18631
15:40,65.53065,73.38192,72.568695,95.37039
15:45,68.55758,71.61379,73.28463,98.58828
15:50,71.47578,68.26918,73.572876,98.838326
15:55,73.968216,68.314606,74.93246,101.97047
16:00,73.88448,66.973946,75.329475,103.42835
16:05,73.14776,63.964397,74.630295,100.324776
